depth,step_size,truncation,reward
2,0.827057,19,43.240000
5,0.382787,7,114.090000
6,0.337709,1,39.420000
4,0.795719,4,56.230000
1,0.054850,26,165.840000
6,0.410899,4,138.460000
6,0.367799,21,130.620000
0,0.374718,12,18.190000
6,0.257103,24,120.520000
0,0.173350,27,21.770000
0,0.115927,6,21.520000
5,0.832708,7,123.010000
2,0.296038,15,107.120000
3,0.771735,6,181.910000
6,0.189330,4,84.500000
3,0.192123,30,151.450000
0,0.670077,12,14.070000
7,0.988719,7,83.470000
7,0.256668,12,125.000000
4,0.352045,12,172.290000
6,0.670127,18,140.140000
6,0.760500,23,199.910000
3,0.687727,7,93.920000
7,0.843693,7,153.060000
2,0.282987,2,95.840000
1,0.853030,11,11.060000
3,0.372635,18,54.590000
0,0.834558,6,10.740000
6,0.405793,3,107.720000
5,0.009492,16,28.370000
3,0.902142,30,44.430000
6,0.198252,16,173.960000
4,0.313279,29,148.820000
6,0.970467,25,57.570000
2,0.993923,15,71.200000
1,0.907968,28,9.970000
3,0.230333,21,97.180000
2,0.642418,1,75.290000
0,0.540825,20,15.690000
6,0.127960,4,70.110000
2,0.175169,29,183.680000
5,0.179213,28,170.580000
1,0.331644,25,45.960000
6,0.655757,17,34.790000
6,0.642958,20,161.330000
4,0.927348,19,192.970000
6,0.377462,22,162.670000
3,0.782118,24,19.850000
3,0.198504,16,166.950000
7,0.359339,9,163.310000
7,0.698414,30,68.400000
1,0.666888,1,109.970000
3,0.253679,13,87.580000
2,0.080603,11,142.880000
0,0.938303,16,9.900000
0,0.810837,28,11.330000
2,0.765149,16,21.550000
0,0.485929,16,17.770000
0,0.273595,5,19.270000
0,0.214926,30,19.640000
6,0.292387,13,122.240000
5,0.037241,4,27.920000
0,0.510493,23,17.230000
6,0.721204,5,34.380000
1,0.377841,14,26.790000
5,0.162463,5,149.830000
7,0.269167,30,183.570000
4,0.309608,16,120.490000
1,0.034196,27,108.630000
7,0.221047,14,141.820000
1,0.787248,27,47.500000
0,0.030965,24,24.490000
2,0.218828,24,180.630000
3,0.841087,28,18.770000
0,0.650755,26,14.380000
5,0.081759,27,181.760000
6,0.656999,24,73.030000
2,0.785963,9,37.570000
2,0.994169,30,42.840000
5,0.025623,17,54.820000
5,0.264525,5,130.110000
5,0.321866,18,104.590000
1,0.069970,15,117.390000
0,0.485278,25,16.350000
6,0.926542,15,197.780000
0,0.409890,26,18.760000
6,0.366963,2,50.900000
0,0.172743,27,21.010000
5,0.384873,7,80.370000
2,0.550716,9,51.250000
7,0.232219,4,123.030000
6,0.434594,16,132.110000
7,0.586417,5,55.570000
4,0.464108,9,166.280000
0,0.166273,20,22.380000
0,0.301672,30,20.140000
4,0.327328,28,145.320000
6,0.613350,29,81.270000
4,0.320152,25,140.900000
5,0.478684,5,76.000000
3,0.408498,3,51.330000
3,0.487343,23,116.950000
5,0.697146,10,55.180000
0,0.302975,12,20.570000
3,0.196236,1,29.580000
7,0.826403,14,73.450000
0,0.113363,15,21.520000
7,0.403067,14,157.750000
7,0.987770,15,95.540000
0,0.725533,18,12.840000
5,0.541165,21,42.390000
6,0.239313,14,147.000000
6,0.932953,25,83.390000
3,0.777973,17,15.480000
3,0.899280,19,104.560000
6,0.832192,5,93.530000
1,0.654145,2,14.980000
3,0.462764,7,158.920000
6,0.380495,20,67.870000
1,0.520578,1,12.840000
5,0.948615,16,126.920000
7,0.209958,11,170.460000
3,0.498114,26,59.750000
3,0.200817,25,151.930000
0,0.778790,26,12.510000
5,0.281049,3,120.010000
2,0.118343,30,174.850000
2,0.540813,15,156.030000
5,0.487540,13,101.000000
7,0.108274,13,179.340000
4,0.695454,22,53.870000
1,0.713006,18,13.490000
3,0.362845,3,117.880000
1,0.104680,12,153.090000
7,0.653818,5,96.730000
0,0.280805,14,21.120000
4,0.926974,28,171.840000
4,0.960216,18,30.020000
4,0.977533,29,177.810000
0,0.917937,24,10.360000
5,0.612390,29,167.920000
7,0.015874,26,42.700000
7,0.508237,23,94.840000
2,0.414580,11,41.460000
3,0.995182,11,39.470000
4,0.482163,29,44.620000
1,0.970378,7,43.370000
5,0.665590,14,132.280000
1,0.343969,15,66.790000
4,0.691479,5,82.300000
6,0.673747,7,54.430000
1,0.397569,17,174.750000
2,0.009773,20,33.710000
7,0.392402,19,80.640000
5,0.296079,20,177.570000
7,0.961342,8,134.320000
2,0.500740,4,89.740000
5,0.232933,5,101.830000
1,0.997986,6,60.690000
4,0.985987,16,178.040000
5,0.564424,8,43.330000
0,0.997500,6,9.500000
5,0.994751,8,173.510000
4,0.491412,7,103.130000
5,0.998226,11,78.350000
4,0.646751,23,31.730000
0,0.930664,14,10.260000
3,0.009593,27,32.130000
2,0.036252,30,167.350000
2,0.107303,2,33.540000
1,0.400592,20,117.430000
0,0.752244,27,11.670000
7,0.278548,20,125.810000
4,0.617055,2,72.410000
3,0.994146,6,64.920000
5,0.413439,1,76.410000
7,0.142412,27,190.910000
2,0.428811,10,49.160000
4,0.392973,25,112.490000
3,0.599249,14,135.940000
0,0.883942,19,10.080000
5,0.148298,11,173.650000
7,0.182459,24,143.100000
3,0.959280,4,41.630000
5,0.330163,18,102.910000
3,0.541178,18,103.010000
3,0.222670,20,115.290000
5,0.627597,27,170.720000
4,0.169559,3,94.250000
3,0.760963,2,102.060000
6,0.146266,19,172.830000
6,0.624467,12,48.930000
5,0.116477,15,170.350000
1,0.419758,11,59.350000
2,0.246615,15,155.650000
4,0.585888,4,167.700000
4,0.638642,14,190.770000
3,0.837851,17,18.030000
6,0.454641,14,67.830000
7,0.004831,17,23.980000
3,0.289948,30,74.590000
7,0.301717,12,92.550000
7,0.390146,10,48.970000
5,0.207874,22,144.480000
7,0.472807,5,57.430000
2,0.670777,12,86.970000
0,0.484409,15,16.480000
